"","rango","fit"
"1",513,0.105939633620634
"2",514,0.106279861054918
"3",515,0.106618937542198
"4",516,0.106956836074123
"5",517,0.107293529722827
"6",518,0.107628991648875
"7",519,0.107963195109238
"8",520,0.1082961134653
"9",521,0.108627720190872
"10",522,0.108957988880238
"11",523,0.109286893256197
"12",524,0.109614407178125
"13",525,0.109940504650034
"14",526,0.110265159828631
"15",527,0.110588347031368
"16",528,0.110910040744489
"17",529,0.111230215631053
"18",530,0.111548846538945
"19",531,0.111865908508861
"20",532,0.112181376782259
"21",533,0.112495226809285
"22",534,0.112807434256655
"23",535,0.113117975015496
"24",536,0.113426825209145
"25",537,0.113733961200886
"26",538,0.114039359601639
"27",539,0.114342997277585
"28",540,0.114644851357728
"29",541,0.114944899241379
"30",542,0.115243118605577
"31",543,0.115539487412425
"32",544,0.115833983916337
"33",545,0.116126586671209
"34",546,0.116417274537488
"35",547,0.116706026689147
"36",548,0.116992822620565
"37",549,0.11727764215329
"38",550,0.117560465442706
"39",551,0.117841272984578
"40",552,0.118120045621481
"41",553,0.118396764549112
"42",554,0.118671411322474
"43",555,0.118943967861931
"44",556,0.119214416459132
"45",557,0.119482739782798
"46",558,0.119748920884374
"47",559,0.12001294320353
"48",560,0.120274790573524
"49",561,0.120534447226413
"50",562,0.12079189779811
"51",563,0.12104712733329
"52",564,0.121300121290136
"53",565,0.121550865544922
"54",566,0.121799346396442
"55",567,0.122045550570259
"56",568,0.122289465222803
"57",569,0.122531077945284
"58",570,0.122770376767444
"59",571,0.123007350161128
"60",572,0.123241987043688
"61",573,0.123474276781193
"62",574,0.123704209191486
"63",575,0.123931774547035
"64",576,0.124156963577617
"65",577,0.124379767472819
"66",578,0.124600177884352
"67",579,0.12481818692818
"68",580,0.125033787186471
"69",581,0.125246971709356
"70",582,0.125457734016501
"71",583,0.125666068098506
"72",584,0.125871968418101
"73",585,0.126075429911168
"74",586,0.126276447987573
"75",587,0.126475018531818
"76",588,0.126671137903494
"77",589,0.126864802937573
"78",590,0.127056010944494
"79",591,0.127244759710082
"80",592,0.127431047495277
"81",593,0.127614873035692
"82",594,0.127796235540978
"83",595,0.127975134694028
"84",596,0.128151570649996
"85",597,0.128325544035139
"86",598,0.1284970559455
"87",599,0.128666107945406
"88",600,0.128832702065803
"89",601,0.128996840802432
"90",602,0.129158527113834
"91",603,0.129317764419189
"92",604,0.129474556596013
"93",605,0.129628907977678
"94",606,0.129780823350796
